A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,31,31,125
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,30,30,116
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,436,436,933
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,332,332,910
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,6,6,58
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,9,9,58
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,90,90,152
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,16,16,42
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,478,478,1030
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,137,137,248
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,587,587,1502
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,808,808,1576
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,25,25,57
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,42,42,58
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,57,57,122
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,46,46,116
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,21,21,62
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,130,130,299
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,273,273,486
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,93,93,319
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,101,101,348
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,161,161,460
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,153,153,490
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,143,143,527
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,646,646,1407
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,31,31,57
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,295,295,605
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,64,64,282
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,55,55,293
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,157,157,516
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,176,176,509
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,833,833,1537
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,242,242,445
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,90,90,357
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,261,261,556
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,8,8,57
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,15,15,61
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,486,486,1212
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,354,354,1192
