A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,47,47,124
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,60,60,120
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,42,42,124
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,467,467,1106
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,515,515,1107
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,554,554,1041
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1146,1146,2107
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1112,1112,2030
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1157,1157,2063
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,54,54,148
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,51,51,133
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,67,67,121
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,738,738,1405
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,206,206,391
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,203,203,379
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,321,321,492
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,298,298,475
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,312,312,491
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,207,207,387
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,406,406,731
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,467,467,723
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,503,503,678
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,91,91,310
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,154,154,299
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,101,101,310
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,387,387,885
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,399,399,851
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,49,49,124
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,49,49,152
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,38,38,62
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,40,40,60
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,46,46,62
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,68,68,179
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,25,25,61
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,458,458,895
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,29,29,62
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,27,27,58
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,696,696,1340
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,696,696,1405
