A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,344,344,759
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,299,299,663
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,355,355,616
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,24,24,51
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,384,384,700
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,74,74,135
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,590,590,886
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,600,600,973
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,73,73,162
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,90,90,173
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,124,124,235
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,95,95,193
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,65,65,118
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,206,206,407
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,196,196,337
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,242,242,431
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,202,202,432
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,473,473,871
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,273,273,467
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,59,59,103
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,245,245,512
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,228,228,563
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,174,174,262
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,74,74,150
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,716,716,1108
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,214,214,462
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,237,237,378
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,228,228,408
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,46,46,157
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,38,38,178
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,42,42,116
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,415,415,922
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,394,394,801
