A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,36,36,124
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,12,12,120
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,23,23,124
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,306,306,980
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,276,276,1109
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,302,302,1062
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,10,10,60
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,11,11,62
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,25,25,62
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,620,620,1557
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,555,555,1690
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,668,668,1500
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,37,37,108
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,24,24,62
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,189,189,440
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,194,194,421
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,249,249,532
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,221,221,546
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,207,207,525
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,55,55,286
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,41,41,278
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,41,41,300
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,224,224,596
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,216,216,672
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,182,182,638
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,39,39,124
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,6,6,10
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,145,145,494
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,161,161,465
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,154,154,435
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,164,164,424
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,3,3,7
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,4,4,9
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,330,330,996
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,388,388,1152
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,396,396,971
