A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,69,69,124
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,74,74,118
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,75,75,124
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,507,507,1039
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,506,506,1048
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,518,518,1021
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1154,1154,1850
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1202,1202,1795
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1107,1107,1879
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,56,56,132
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,38,38,96
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,55,55,130
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,600,600,1370
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,348,348,549
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,371,371,522
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,347,347,552
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,174,174,398
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,358,358,669
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,311,311,667
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,335,335,643
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,100,100,300
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,90,90,292
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,81,81,302
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,425,425,926
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,437,437,898
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,62,62,130
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,55,55,132
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,35,35,62
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,34,34,60
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,33,33,62
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,159,159,395
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,171,171,384
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,79,79,128
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,26,26,62
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,480,480,932
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,31,31,62
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,35,35,58
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,704,704,1347
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,598,598,1371
