A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,59,59,116
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,63,63,109
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,83,83,176
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,518,518,1122
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,528,528,1065
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,498,498,1057
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,924,924,1603
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1013,1013,1702
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,863,863,1756
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,52,52,115
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,33,33,62
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,42,42,122
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,287,287,463
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,235,235,451
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,194,194,391
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,195,195,486
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,357,357,730
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,397,397,730
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,303,303,711
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,114,114,302
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,83,83,288
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,96,96,296
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,433,433,934
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,432,432,895
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,374,374,860
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,18,18,62
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,19,19,60
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,17,17,62
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,35,35,69
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,162,162,389
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,166,166,376
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,22,22,59
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,27,27,56
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,31,31,61
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,37,37,61
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,27,27,58
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,647,647,1445
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,722,722,1453
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,594,594,1488
