A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,33,33,132
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,133,133,1012
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,43,43,124
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,67,67,140
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,13,13,64
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,200,200,538
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,177,177,555
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,8,8,50
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,1,1,54
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,353,353,1006
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,238,238,1050
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,70,70,235
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,110,110,288
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,27,27,62
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,20,20,60
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,77,77,286
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,81,81,284
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,124,124,553
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,80,80,363
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,132,132,520
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,437,437,1441
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,427,427,1371
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,150,150,539
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,35,35,272
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,13,13,59
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,21,21,182
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,397,397,1616
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,21,21,61
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,19,19,57
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,105,105,285
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,207,207,551
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,192,192,531
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,136,136,370
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,554,554,1632
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,555,555,1487
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,447,447,1431
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,182,182,474
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,148,148,501
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,8,8,52
