A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,90,90,171
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,122,122,182
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,252,252,450
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,268,268,419
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,255,255,455
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,735,735,1304
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,700,700,1159
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,428,428,772
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,451,451,769
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,80,80,194
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,93,93,196
JFK,JFK,40.6397,-73.7789,40.6397,-73.7789,0,0,1
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,277,277,479
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,174,174,339
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,182,182,357
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,215,215,544
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,232,232,568
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,35,35,57
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,17,17,57
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,329,329,660
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,328,328,754
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,31,31,120
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,46,46,100
