A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,315,315,762
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,90,90,171
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,75,75,169
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,185,185,436
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,189,189,474
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,144,144,535
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,152,152,615
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,61,61,170
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,77,77,235
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,346,346,713
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,343,343,795
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,120,120,215
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,115,115,181
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,38,38,120
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,37,37,105
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,257,257,480
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,152,152,446
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,179,179,452
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,469,469,907
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,442,442,867
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,144,144,597
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,22,22,117
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,106,106,204
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,80,80,172
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,633,633,1005
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,211,211,430
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,228,228,447
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,666,666,1028
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,618,618,975
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,404,404,872
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,250,250,440
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,271,271,479
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,49,49,226
ORD,ORD,41.9808,-87.9067,41.9808,-87.9067,1,1,1
LAX,LAX,33.9425,-118.4072,33.9425,-118.4072,0,0,1
