A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,229.5,37,248
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,213.5,53,240
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,218.5,55,246
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,850.5,233,967
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,819.5,287,963
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,848.0,218,957
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,49.5,19,59
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,57.5,7,61
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,55.5,13,62
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1158.0,358,1337
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1152.0,320,1312
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1149.5,345,1322
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,168.5,31,184
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,133.5,67,167
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1354.5,255,1482
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,381.0,86,424
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,364.5,101,415
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,431.0,150,506
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,483.5,147,557
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,381.5,97,430
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,688.5,167,772
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,682.0,210,787
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,644.5,185,737
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,442.5,51,468
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,394.5,99,444
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,426.0,92,472
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,551.0,118,610
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,529.5,99,579
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,142.5,67,176
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,166.0,40,186
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,48.0,28,62
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,42.0,34,59
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,47.0,30,62
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,144.5,39,164
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,134.0,66,167
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,464.5,165,547
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,167.0,38,186
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,564.0,112,620
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,166.0,38,185
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,142.0,48,166
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1306.5,221,1417
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1335.5,257,1464
