A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,634.5,117,693
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,639.5,61,670
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,14.5,5,17
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,564.5,125,627
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,682.0,110,737
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,136.5,23,148
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,875.5,195,973
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,929.5,197,1028
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,195.0,22,206
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,188.0,36,206
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,105.0,20,115
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,102.0,12,108
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,157.0,30,172
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,214.0,78,253
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,300.5,33,317
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,375.0,74,412
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,390.0,110,445
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,819.5,187,913
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,408.0,52,434
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,104.5,7,108
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,490.5,95,538
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,565.5,93,612
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,241.0,70,276
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,104.5,33,121
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1099.5,247,1223
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,246.0,100,296
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,371.5,79,411
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,312.5,79,352
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,51.5,7,55
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,50.5,17,59
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,101.0,28,115
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,813.5,127,877
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,727.5,121,788
