A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,48.5,17,57
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,587.5,71,623
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,729.0,188,823
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,676.0,146,749
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,701.0,106,754
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,950.0,134,1017
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,54.0,6,57
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,221.0,22,232
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,839.0,208,943
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,927.0,270,1062
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,203.0,48,227
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,205.5,123,267
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,145.0,40,165
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,139.0,20,149
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,278.0,36,296
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,303.5,83,345
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,323.5,65,356
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,325.0,58,354
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,357.0,58,386
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1082.5,111,1138
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,503.5,133,570
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,201.5,23,213
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,226.0,20,236
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,518.0,64,550
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,292.5,125,355
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,277.0,40,297
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,50.5,1,51
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,55.5,5,58
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1226.0,174,1313
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,333.0,126,396
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,331.5,67,365
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,360.5,47,384
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,844.0,198,943
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,748.0,144,820
