A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,57.0,8,61
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,50.5,7,54
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,885.0,274,1022
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,867.5,189,962
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,113.5,13,120
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,786.5,209,891
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,58.0,8,62
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,956.5,195,1054
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,57.5,9,62
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,77.5,23,89
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1577.5,321,1738
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1612.0,512,1868
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,154.0,24,166
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,53.5,17,62
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,51.5,9,56
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,284.0,28,298
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,310.5,65,343
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,320.0,70,355
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,497.0,106,550
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,551.5,183,643
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1294.0,136,1362
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,623.5,155,701
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,267.5,23,279
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,290.0,26,303
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,727.5,129,792
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,761.5,225,874
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,313.5,123,375
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,113.0,22,124
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,50.5,11,56
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,54.5,15,62
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,165.5,65,198
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1674.0,342,1845
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,339.0,112,395
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,305.5,133,372
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,403.5,79,443
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1169.5,239,1289
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1088.5,151,1164
