A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,35,35,124
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,34,34,120
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,36,36,124
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,429,429,991
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,427,427,995
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,357,357,966
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,14,14,60
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,21,21,62
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,11,11,62
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,550,550,1663
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,743,743,1665
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,678,678,1659
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,40,40,120
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,45,45,124
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,232,232,545
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,101,101,377
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,190,190,494
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,170,170,541
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,203,203,581
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,225,225,519
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,44,44,306
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,78,78,294
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,68,68,299
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,149,149,562
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,128,128,612
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,140,140,589
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,72,72,166
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,31,31,56
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,146,146,532
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,127,127,376
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,145,145,368
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,36,36,60
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,41,41,59
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,8,8,62
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,11,11,62
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,14,14,60
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,416,416,1350
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,374,374,1399
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,363,363,1339
