A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,170.5,31,186
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,158.5,35,176
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,169.0,30,184
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,863.0,352,1039
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,879.0,386,1072
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,865.0,366,1048
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1468.0,614,1775
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1479.0,602,1780
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1409.0,696,1757
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,104.5,39,124
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,96.0,40,116
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,50.0,22,61
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,365.0,208,469
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,372.0,170,457
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,380.5,199,480
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,338.5,91,384
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,749.0,198,848
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,772.5,153,849
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,684.5,175,772
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,286.5,25,299
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,272.5,39,292
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,282.0,22,293
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,729.5,233,846
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,721.5,213,828
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,54.5,15,62
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,155.5,55,183
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,60.0,4,62
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,52.0,8,56
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,60.0,4,62
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,338.0,76,376
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,322.0,102,373
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,42.0,26,55
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,776.0,222,887
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1373.0,438,1592
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1275.0,380,1465
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1365.5,361,1546
