A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,688.0,156,766
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,935.5,195,1033
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,907.0,98,956
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,729.0,282,870
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,917.0,230,1032
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,50.5,9,55
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,131.5,29,146
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1123.0,184,1215
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1150.0,378,1339
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,250.0,40,270
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,265.0,74,302
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,170.0,32,186
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,156.5,23,168
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,285.0,50,310
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,330.0,68,364
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,301.0,64,333
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,512.5,59,542
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,565.0,160,645
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1091.5,309,1246
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,635.0,164,717
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,260.0,18,269
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,273.5,47,297
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,650.5,73,687
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,321.5,137,390
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,147.0,64,179
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,50.0,4,52
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,53.5,5,56
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1719.5,549,1994
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,320.0,86,363
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,318.5,151,394
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,390.0,138,459
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1076.0,180,1166
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,980.5,133,1047
