A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,111.5,25,124
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,107.5,21,118
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,114.0,20,124
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,931.5,215,1039
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,950.0,196,1048
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,902.0,238,1021
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1664.0,372,1850
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1580.5,429,1795
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1719.0,320,1879
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,121.5,21,132
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,86.5,19,96
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,122.5,15,130
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1292.0,156,1370
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,507.5,83,549
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,455.0,134,522
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,494.5,115,552
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,361.0,74,398
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,612.0,114,669
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,626.0,82,667
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,583.0,120,643
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,288.0,24,300
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,273.5,37,292
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,295.5,13,302
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,856.5,139,926
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,827.0,142,898
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,116.0,28,130
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,121.0,22,132
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,58.0,8,62
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,56.0,8,60
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,59.0,6,62
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,358.0,74,395
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,339.0,90,384
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,107.5,41,128
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,57.0,10,62
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,859.0,146,932
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,59.5,5,62
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,53.5,9,58
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1246.5,201,1347
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1302.0,138,1371
