A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,30,30,119
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,351,351,768
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,384,384,756
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,418,418,758
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,801,801,1067
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,825,825,1092
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,115,115,175
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,125,125,198
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,874,874,1077
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,169,169,457
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,190,190,449
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,317,317,471
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,309,309,434
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,362,362,526
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,191,191,477
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,266,266,520
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,199,199,533
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,268,268,493
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,259,259,606
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,31,31,115
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,32,32,120
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,217,217,620
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,215,215,596
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,126,126,199
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,107,107,158
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,114,114,163
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,130,130,208
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,103,103,223
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,503,503,865
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,555,555,865
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,119,119,184
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,505,505,835
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,93,93,225
