A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,123.5,11,129
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,112.0,0,112
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,934.0,114,991
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,855.5,81,896
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,57.0,10,62
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,51.5,9,56
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,152.0,24,164
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,73.0,6,76
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,1010.0,168,1094
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,82.0,16,90
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1183.0,160,1263
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1190.0,242,1311
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,9.0,0,9
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,57.5,9,62
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,51.0,10,56
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,54.5,15,62
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,314.5,75,352
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,443.5,93,490
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,260.0,32,276
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,368.5,47,392
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,364.0,38,383
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,454.0,56,482
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,497.5,81,538
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1182.0,112,1238
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,11.5,3,13
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,506.5,79,546
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,247.0,8,251
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,264.5,21,275
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,493.0,70,528
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,501.5,91,547
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,5.5,5,8
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1511.0,278,1650
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,389.5,77,428
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,353.0,52,379
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,492.0,114,549
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,894.5,143,966
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,820.5,113,877
