A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,622.5,99,672
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,697.0,74,734
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,654.5,83,696
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,554.0,20,564
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,969.0,120,1029
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1002.5,123,1064
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1003.0,148,1077
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,163.0,26,176
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,367.5,51,393
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,465.5,45,488
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,330.5,59,360
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,308.0,106,361
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,387.5,55,415
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,307.5,81,348
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,100.5,21,111
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,91.5,23,103
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,111.0,10,116
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,539.5,49,564
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,154.5,27,168
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,503.0,36,521
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,110.0,14,117
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,224.5,23,236
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,314.5,69,349
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,501.5,27,515
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,467.0,54,494
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,160.5,31,176
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,143.0,44,165
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,53.5,13,60
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,53.5,13,60
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,51.5,13,58
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,751.0,98,800
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,756.0,128,820
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,760.5,121,821
