A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,179.5,39,199
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,157.0,22,168
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,813.5,269,948
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,633.5,239,753
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,57.0,10,62
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,49.0,14,56
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,196.5,51,222
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,177.5,57,206
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,756.0,374,943
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,102.5,33,119
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,62.0,36,80
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,894.5,411,1100
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1033.0,398,1232
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,355.5,181,446
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,377.0,122,438
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,66.0,20,76
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,46.0,12,52
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,48.0,28,62
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,362.5,119,422
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,292.0,154,369
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,372.0,84,414
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,331.0,102,382
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,320.5,141,391
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,539.5,89,584
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,585.0,128,649
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1161.5,375,1349
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,506.0,290,651
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,624.0,152,700
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,294.5,47,318
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,326.5,43,348
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,459.5,113,516
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,514.0,92,560
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,39.0,24,51
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,46.0,30,61
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,883.5,555,1161
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,395.0,122,456
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,375.5,97,424
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,493.5,163,575
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,164.0,44,186
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,190.0,32,206
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1242.0,234,1359
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1061.5,227,1175
