A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,271,271,719
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,354,354,733
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,328,328,702
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,212,212,606
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,633,633,1091
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,735,735,1183
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,626,626,1050
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,55,55,157
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,201,201,380
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,209,209,290
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,199,199,340
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,261,261,460
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,271,271,471
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,274,274,444
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,55,55,118
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,67,67,155
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,69,69,176
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,227,227,608
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,79,79,173
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,219,219,594
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,59,59,180
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,84,84,179
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,237,237,406
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,127,127,291
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,152,152,282
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,45,45,119
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,98,98,176
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,27,27,59
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,22,22,60
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,31,31,56
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,379,379,905
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,314,314,908
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,407,407,872
