A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,19.5,9,24
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,23.0,4,25
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,20.5,9,25
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,657.5,119,717
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,765.5,61,796
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,694.0,70,729
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,561.0,66,594
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1070.0,116,1128
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1103.5,91,1149
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1024.5,227,1138
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,156.5,15,164
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,260.5,79,300
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,368.0,76,406
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,385.5,73,422
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,448.0,52,474
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,380.5,41,401
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,149.5,41,170
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,168.0,14,175
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,174.0,12,180
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,543.5,143,615
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,190.5,47,214
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,553.5,55,581
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,175.0,6,178
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,192.0,66,225
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,408.0,32,424
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,388.0,34,405
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,278.5,51,304
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,264.0,46,287
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,92.5,25,105
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,208.0,34,225
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,887.5,133,954
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,995.5,149,1070
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,920.0,146,993
